# rp wgp wgp_err wgg wgg_err
1.66610e-01 1.84401e+00 1.61220e-01 4.93752e+01 6.86580e+00
2.87845e-01 7.04710e-01 1.36136e-01 4.18017e+01 6.54539e+00
4.97297e-01 4.81364e-01 1.07715e-01 3.37431e+01 6.21854e+00
8.59158e-01 2.40270e-01 9.72854e-02 2.51532e+01 5.97384e+00
1.48433e+00 1.57193e-01 8.32234e-02 1.73060e+01 5.73777e+00
2.56441e+00 1.84275e-01 6.68415e-02 1.14730e+01 5.49762e+00
4.43041e+00 1.60004e-01 5.13852e-02 7.61834e+00 5.21226e+00
7.65422e+00 1.45612e-01 4.00336e-02 4.44228e+00 4.81691e+00
1.32239e+01 1.35327e-01 3.28474e-02 1.91752e+00 4.25077e+00
2.28463e+01 8.42842e-02 2.77913e-02 -4.39302e-03 3.49761e+00
3.94705e+01 4.04806e-02 2.32102e-02 -2.07957e-01 2.62826e+00
6.03553e+01 -4.20271e-03 1.82326e-02 -8.77734e-01 1.75314e+00
