# rp wgp wgp_err wgg wgg_err
1.66610e-01 1.26958e+00 1.78891e-01 4.93752e+01 6.86580e+00
2.87845e-01 2.40469e-01 1.51057e-01 4.18017e+01 6.54539e+00
4.97297e-01 5.22128e-01 1.19519e-01 3.37431e+01 6.21854e+00
8.59158e-01 4.78287e-01 1.07941e-01 2.51532e+01 5.97384e+00
1.48433e+00 3.47140e-01 9.23322e-02 1.73060e+01 5.73777e+00
2.56441e+00 3.48928e-01 7.41485e-02 1.14730e+01 5.49762e+00
4.43041e+00 2.06872e-01 5.69916e-02 7.61834e+00 5.21226e+00
7.65422e+00 1.54689e-01 4.43830e-02 4.44228e+00 4.81691e+00
1.32239e+01 1.47249e-01 3.63816e-02 1.91752e+00 4.25077e+00
2.28463e+01 8.88795e-02 3.07248e-02 -4.39302e-03 3.49761e+00
3.94705e+01 3.90952e-02 2.55840e-02 -2.07957e-01 2.62826e+00
6.03553e+01 1.08031e-02 2.00242e-02 -8.77734e-01 1.75314e+00
