# rp wgp wgp_err wgg wgg_err
1.66610e-01 1.76609e+02 3.32405e+01 4.93752e+01 6.86580e+00
2.87845e-01 6.38506e+01 2.80680e+01 4.18017e+01 6.54539e+00
4.97297e-01 1.88650e+01 2.22058e+01 3.37431e+01 6.21854e+00
8.59158e-01 5.82616e+01 2.00512e+01 2.51532e+01 5.97384e+00
1.48433e+00 4.11797e+01 1.71461e+01 1.73060e+01 5.73777e+00
2.56441e+00 2.27637e+01 1.37623e+01 1.14730e+01 5.49762e+00
4.43041e+00 2.35083e+01 1.05690e+01 7.61834e+00 5.21226e+00
7.65422e+00 5.57667e+00 8.21594e+00 4.44228e+00 4.81691e+00
1.32239e+01 2.21114e+00 6.70682e+00 1.91752e+00 4.25077e+00
2.28463e+01 3.64444e+00 5.61763e+00 -4.39302e-03 3.49761e+00
3.94705e+01 -1.81839e-01 4.61455e+00 -2.07957e-01 2.62826e+00
6.03553e+01 -5.70449e-02 3.54981e+00 -8.77734e-01 1.75314e+00
