# rp wgp wgp_err wgg wgg_err
1.66610e-01 8.71132e-02 2.26071e-02 4.93752e+01 6.86580e+00
2.87845e-01 5.08891e-02 1.91148e-02 4.18017e+01 6.54539e+00
4.97297e-01 6.59966e-02 1.52084e-02 3.37431e+01 6.21854e+00
8.59158e-01 5.58237e-02 1.38836e-02 2.51532e+01 5.97384e+00
1.48433e+00 5.63038e-02 1.21027e-02 1.73060e+01 5.73777e+00
2.56441e+00 3.12274e-02 1.00001e-02 1.14730e+01 5.49762e+00
4.43041e+00 2.05966e-02 8.02732e-03 7.61834e+00 5.21226e+00
7.65422e+00 1.45523e-02 6.78460e-03 4.44228e+00 4.81691e+00
1.32239e+01 1.12385e-02 6.45213e-03 1.91752e+00 4.25077e+00
2.28463e+01 1.05880e-02 6.67854e-03 -4.39302e-03 3.49761e+00
3.94705e+01 3.66126e-03 6.90313e-03 -2.07957e-01 2.62826e+00
6.03553e+01 2.73989e-03 6.46776e-03 -8.77734e-01 1.75314e+00
