# rp wgp wgp_err wgg wgg_err
1.66610e-01 3.06522e-01 6.34439e-02 4.93752e+01 6.86580e+00
2.87845e-01 6.47649e-03 5.35806e-02 4.18017e+01 6.54539e+00
4.97297e-01 1.20590e-01 4.24206e-02 3.37431e+01 6.21854e+00
8.59158e-01 9.72191e-02 3.83589e-02 2.51532e+01 5.97384e+00
1.48433e+00 7.67095e-02 3.28855e-02 1.73060e+01 5.73777e+00
2.56441e+00 1.07462e-01 2.65021e-02 1.14730e+01 5.49762e+00
4.43041e+00 9.97371e-02 2.04864e-02 7.61834e+00 5.21226e+00
7.65422e+00 7.80695e-02 1.61465e-02 4.44228e+00 4.81691e+00
1.32239e+01 7.46903e-02 1.35899e-02 1.91752e+00 4.25077e+00
2.28463e+01 4.45524e-02 1.20402e-02 -4.39302e-03 3.49761e+00
3.94705e+01 2.53229e-02 1.07413e-02 -2.07957e-01 2.62826e+00
6.03553e+01 2.22385e-02 9.05029e-03 -8.77734e-01 1.75314e+00
